iter,normE,condJ,timestamp
0,6.722536804005725,465048561121733.94,107846.764927072
1,0.8212030076453138,nan,107849.895664448
2,0.7877511917907593,nan,107852.828507542
3,0.26920408909664323,nan,107855.785984274
4,0.1474221318256401,nan,107858.953097818
5,0.12816484336452252,nan,107862.650451089
6,0.10472451363324248,nan,107865.620279276
7,0.0968904353908266,nan,107868.528540566
8,0.09092545877295939,nan,107871.81462502
9,0.08479872302115429,nan,107875.054175732
10,0.08419244457716275,104156229293779.2,107880.888590646
11,0.06965558606902753,nan,107883.889373075
12,0.057539980118201176,nan,107894.42532329
13,0.05277498370784261,nan,107897.5469255
14,0.04887273753501923,nan,107900.558821289
15,0.04500602057308502,nan,107903.843199335
16,0.041827452855906624,nan,107906.69714457
17,0.03460056939550606,nan,107909.653123824
18,0.03113908843894645,nan,107912.703211784
19,0.029491935132795737,nan,107915.846857636
20,0.023295271585302712,196784035202588.66,107922.150312203
21,0.021091644477262965,nan,107925.089368286
22,0.020025376740408038,nan,107928.329218541
23,0.016723168824783956,nan,107931.568019794
24,0.015496294254020826,nan,107934.640030961
25,0.01453356385037823,nan,107937.626916549
26,0.014495872569103847,nan,107942.769538466
27,0.010445022283484323,nan,107945.745230866
28,0.008442780407050897,nan,107949.498009404
29,0.007583711193512858,nan,107953.024099278
30,0.006881693917842352,474581536338366.5,107961.395539643
31,0.006291336921635753,nan,107964.406221457
32,0.005588234399166745,nan,107967.502181905
33,0.004584101912047168,nan,107970.559033797
