iter,normE,condJ,timestamp
0,6.752267511455545,197011706500320.56,107783.825177139
1,0.465999287202423,nan,107787.717259675
3,0.4046887561800208,nan,107796.923886239
4,0.38717712389920617,nan,107802.569685083
5,0.33962751800695967,nan,107806.468295575
6,0.334293965303272,nan,107809.746708568
7,0.27554976283274885,nan,107812.923226338
8,0.2611726460293739,nan,107816.15467776
9,0.23356244446425103,nan,107819.731453385
10,0.19983007100097114,12330143439102.246,107826.180851837
11,0.1987960006542953,nan,107829.366229687
12,0.13053873678082326,nan,107832.584628472
13,0.044750251317728834,nan,107836.101667051
14,0.011364148949374153,nan,107839.739851167
15,0.00295028663921165,nan,107843.50898289
