iter,normE,condJ,timestamp
0,6.723154610338364,1345767084278559.2,107586.651857099
1,0.2497584712639127,nan,107589.815561208
2,0.24784040766094284,nan,107592.83426094
3,0.24369097828314887,nan,107595.747562326
4,0.23952017854390767,nan,107598.720147334
5,0.23485851896772886,nan,107601.852567171
6,0.22899533894796753,nan,107604.695237512
7,0.22344294900484918,nan,107607.803882901
8,0.22131832069863672,nan,107610.875135178
9,0.20441034675472824,nan,107613.958462196
10,0.19937405888503543,192341291107404.94,107620.67304633
11,0.19671024406405818,nan,107623.722937661
12,0.18161141902094116,nan,107626.6583828
13,0.17579444333771138,nan,107629.639605671
14,0.154644194754383,nan,107632.604239876
15,0.1460370230331203,nan,107635.668807582
16,0.1387302174469768,nan,107639.12200904
17,0.12571174986083475,nan,107642.326368743
18,0.11857274383116587,nan,107645.426236038
19,0.11215029346386828,nan,107649.688732111
20,0.10669955108890211,318319521415621.9,107657.799668393
21,0.10098773994683556,nan,107675.260825948
22,0.09833218863308003,nan,107678.967980192
23,0.08534700626840672,nan,107682.217577592
24,0.0740184097089824,nan,107685.544904686
25,0.06911325442947917,nan,107688.738110642
26,0.0648885089112323,nan,107691.840186228
27,0.060592252422153284,nan,107694.861515332
28,0.05708091309580401,nan,107697.861760186
29,0.048271762963449025,nan,107701.45069101
30,0.043893155017692226,150366834750598.44,107708.506004422
31,0.04291896452593689,nan,107711.452945059
32,0.03391491689624449,nan,107714.431783236
33,0.028785989489904008,nan,107717.540596483
34,0.02549752807234526,nan,107720.545007981
35,0.021670470947528355,nan,107726.138972397
36,0.02015466003255023,nan,107729.283321509
37,0.019175459514495733,nan,107732.294415784
38,0.01669086992957027,nan,107735.34145122
39,0.015550416087719706,nan,107738.323882946
40,0.014598793970709094,562609189172624.4,107744.58840371
41,0.01255044705869625,nan,107747.62952072
42,0.011522640901610088,nan,107753.787675968
43,0.01074836390979925,nan,107759.663951602
44,0.010646694414095206,nan,107765.940636542
45,0.007435211502911801,nan,107769.307459049
46,0.006978246906878488,nan,107773.32055798
47,0.005505629457150822,nan,107776.68204008
48,0.004058838900435531,nan,107779.669055858
