iter,normE,condJ,timestamp
0,5.214996146096375,884293765047863.4,105761.369206459
1,0.2494560548745353,nan,105763.350969169
2,0.24759791816236648,nan,105764.90279984
3,0.24746730364083505,nan,105766.141206524
4,0.24272418246420524,nan,105767.390612829
5,0.23037776612598848,nan,105769.034951298
6,0.22226114603485508,nan,105770.297640841
7,0.21686083355164884,nan,105772.056201814
8,0.21548249031022262,nan,105773.662303211
9,0.19612518785689245,nan,105775.118227527
10,0.18928384671844514,337649411231066.44,105777.622583892
11,0.16102617995385765,nan,105778.895315323
12,0.1501929515762302,nan,105780.44773651
13,0.14100053658667042,nan,105781.711399985
14,0.12493399705501682,nan,105782.97814065
15,0.11625659606374,nan,105784.444001346
16,0.10863087139680984,nan,105785.717330127
17,0.10218548892551,nan,105786.964187055
18,0.09552542665084279,nan,105788.583214582
19,0.09095202054417903,nan,105789.840695814
20,0.07585393589618239,104264626163302.16,105792.739203492
21,0.06860177484857789,nan,105794.011136093
22,0.06842921428489912,nan,105795.295436522
23,0.05193010799758525,nan,105796.840250781
24,0.042383739454923956,nan,105798.31703176
25,0.03622855745755612,nan,105799.940265258
26,0.028898987171475113,nan,105801.452992154
27,0.026247981600755397,nan,105803.315160203
28,0.024728469263739835,nan,105805.104796212
29,0.02469647442455665,nan,105806.426836675
30,0.017658409426960356,111155216552737.28,105809.258555293
31,0.01415472721698316,nan,105810.636784857
32,0.012453967091479114,nan,105811.976272936
33,0.010899862770102782,nan,105813.366211994
34,0.009982812438662387,nan,105814.659193951
35,0.009197339435839598,nan,105816.334124181
36,0.005642804672146491,nan,105817.66217394
37,0.004974639597882556,nan,105818.970164195
