iter,normE,condJ,timestamp
0,5.19700365356847,68677847381075.29,104391.842666889
1,0.002184617047792007,nan,104393.225242312
2,7.4653249037489945e-06,nan,104394.615031079
3,7.886020047417866e-09,nan,104395.839105918
